scenario_id,load_factor,pbo_db,affected_fraction,group,baseline_mask_paired,n_snapshots,n_users,realized_affected_fraction_mean,realized_affected_fraction_std,sinr_mean_db,sinr_p5_db,sinr_median_db,spectral_efficiency_mean_bpshz,spectral_efficiency_p5_bpshz,spectral_efficiency_median_bpshz,outage_probability
LF50_PBO00_F00,0.5,0.0,0.05,unaffected,True,1000,654612,0.0,0.0,7.168213169634744,2.8803471681070807,6.384196379514357,2.1603709923543954,1.2450615309573239,1.9354806823354198,0.00034982554551398387
LF50_PBO05_F05,0.5,5.0,0.05,affected,False,1000,34477,0.05003291908190031,0.00042319415096529636,2.2132978932069554,-2.0627390219222748,1.40144019274733,1.2178816512594766,0.558153543429615,1.0011775536245826,0.0028134698494648607
LF50_PBO05_F05,0.5,5.0,0.05,all,False,1000,689089,0.05003291908190031,0.00042319415096529636,6.975261237252454,2.2491327489872615,6.271670052092034,2.1248877647878848,1.1371267962739977,1.911225862477274,0.0004455157461518033
LF50_PBO05_F05,0.5,5.0,0.05,unaffected,False,1000,654612,0.05003291908190031,0.00042319415096529636,7.226063560174516,2.9505213811893953,6.439494155206212,2.172657817546036,1.2574033939307343,1.9474432808894129,0.00032080071859360963
LF50_PBO10_F05,0.5,10.0,0.05,affected,False,1000,34477,0.05003291908190031,0.00042319415096529636,-2.76783627704993,-7.039796000026675,-3.578952473534457,0.5774785530554511,0.20821929301705935,0.419761678057521,0.009107520955999652
LF50_PBO10_F05,0.5,10.0,0.05,all,False,1000,689089,0.05003291908190031,0.00042319415096529636,6.744860231439519,0.6630146119131469,6.2050609155555065,2.0968477743977503,0.8914586357165897,1.896924667282203,0.0007604242703047067
LF50_PBO10_F05,0.5,10.0,0.05,unaffected,False,1000,654612,0.05003291908190031,0.00042319415096529636,7.245873407982553,2.973802278895775,6.459164051375716,2.176869669267106,1.2615127907515233,1.9517052950912195,0.00032080071859360963
LF50_PBO15_F05,0.5,15.0,0.05,affected,False,1000,34477,0.05003291908190031,0.00042319415096529636,-7.761441242816677,-12.033997762833861,-8.573016275177153,0.204229252184006,0.0,0.1501116071758516,0.334251820053949
LF50_PBO15_F05,0.5,15.0,0.05,all,False,1000,689089,0.05003291908190031,0.00042319415096529636,6.501443253430599,-2.62288090712251,6.21075506404766,2.07954687009058,0.5033198082287017,1.8981455700472485,0.017028279365945472
LF50_PBO15_F05,0.5,15.0,0.05,unaffected,False,1000,654612,0.05003291908190031,0.00042319415096529636,7.252638570316204,2.9812635617162346,6.465714419608723,2.178315798115982,1.2628313737348265,1.9531253998648697,0.00032080071859360963
LF50_PBO20_F05,0.5,20.0,0.05,affected,False,1000,34477,0.05003291908190031,0.00042319415096529636,-12.759294196832299,-17.0312011926905,-13.57173173388479,0.048370279001911695,0.0,0.0,0.7443513066682136
LF50_PBO20_F05,0.5,20.0,0.05,all,False,1000,689089,0.05003291908190031,0.00042319415096529636,6.25354355390604,-5.98412080235372,6.212584705004375,2.0722130969267605,0.25948789699222097,1.89853793554905,0.03754667394197266
LF50_PBO20_F05,0.5,20.0,0.05,unaffected,False,1000,654612,0.05003291908190031,0.00042319415096529636,7.254908648240097,2.9838059021816945,6.467689792836509,2.178804526404979,1.2632808380165295,1.9535537336572104,0.00032080071859360963
LF50_PBO00_F00,0.5,0.0,0.1,affected,True,1000,68949,0.0,0.0,7.175622841007062,2.870554187546486,6.388588517363232,2.1618297455217332,1.24334456309214,1.9364297991789892,0.0002465590508926888
LF50_PBO00_F00,0.5,0.0,0.1,unaffected,True,1000,620140,0.0,0.0,7.166803358456659,2.8806325490994715,6.381664533371691,2.1600674335106236,1.24511158552469,1.9349336458280069,0.00035314606379204693
LF50_PBO05_F10,0.5,5.0,0.1,affected,False,1000,68949,0.10005817937746353,0.00040991608042987237,2.291855333599588,-1.9930715488195176,1.5003602540875676,1.2303960062865669,0.5652879068230082,1.0164971714151332,0.0025526113504184254
LF50_PBO05_F10,0.5,5.0,0.1,all,False,1000,689089,0.10005817937746353,0.00040991608042987237,6.785713296953491,0.6302596315212443,6.152650567226814,2.0896411117641365,0.8867828242581621,1.885701737314998,0.0005296848447733166
